"NOMBRE"	"CALLE.Y.NUMERO"	"LOCALIDAD"	"MUNICIPIO"	"LAT_HITS"	"LNG_HITS"
"FRANCISCO I. MADERO"	"CALLE 35"	"MERIDA"	"MERIDA"	"20.9676033"	"-89.6577433"
"LUIS ESPINOSA MORALES"	"CALLE 61"	"MERIDA"	"MERIDA"	"20.9676746"	"-89.561722"
"ESCUELA SECUNDARIA TECNICA NUM. 20"	"CALLE 46 196 D"	"MERIDA"	"MERIDA"	"20.9677415"	"-89.5763491"
"SECUNDARIA TECNICA NUM. 77"	"CALLE 46 196 D"	"MERIDA"	"MERIDA"	"20.9677415"	"-89.5763491"
"ESCUELA SECUNDARIA TECNICA NUM. 58"	"CALLE 63 123"	"MERIDA"	"MERIDA"	"20.9677415"	"-89.5763491"
"FIDEL VELAZQUEZ"	"CALLE 34 150"	"MERIDA"	"MERIDA"	"20.9677981"	"-89.5691631"
"DOLORES OTERO MALDONADO"	"CALLE 34"	"MERIDA"	"MERIDA"	"20.967988"	"-89.685803"
"JULIA RUIZ FUENTES"	"CALLE 45 NA"	"MERIDA"	"MERIDA"	"20.9680274"	"-89.6849654"
"JUANA INES DE LA CRUZ"	"CALLE 37 200"	"MERIDA"	"MERIDA"	"20.9680926"	"-89.6752295"
"JUANA INES DE LA CRUZ"	"CALLE 37 200"	"MERIDA"	"MERIDA"	"20.9680926"	"-89.6752295"
"NETZAHUALCOYOTL"	"CALLE 26 202 G"	"MERIDA"	"MERIDA"	"20.9681013"	"-89.6553049"
"OVIDE DECROLY"	"CALLE 35 200 C"	"MERIDA"	"MERIDA"	"20.9681471"	"-89.6583834"
"EMILIANO ZAPATA"	"CALLE 57"	"MERIDA"	"MERIDA"	"20.9683536"	"-89.593597"
"1 DE MAYO"	"CALLE 14 407"	"MERIDA"	"MERIDA"	"20.968472"	"-89.5962745"
"NICOLAS CAMARA LUJAN"	"CALLE 57 458"	"MERIDA"	"MERIDA"	"20.9685324"	"-89.6140515"
"DISTRITO FEDERAL"	"CALLE 57 466"	"MERIDA"	"MERIDA"	"20.9686981"	"-89.6158795"
"DISTRITO FEDERAL"	"CALLE 57 466 A"	"MERIDA"	"MERIDA"	"20.9686981"	"-89.6158795"
"INSTITUTO MONTE LIBANO"	"CALLE 54 486"	"MERIDA"	"MERIDA"	"20.9688452"	"-89.6186337"
"INSTITUTO MONTE LIBANO"	"CALLE 54 486  Num. Exterior 1"	"MERIDA"	"MERIDA"	"20.9688452"	"-89.6186337"
"CENDI MONTE LIBANO NUM. 186"	"CALLE 54 493"	"MERIDA"	"MERIDA"	"20.9688452"	"-89.6186337"
"SOLIDARIDAD"	"CALLE 10 618"	"MERIDA"	"MERIDA"	"20.9688812"	"-89.6693961"
"FRANCISCO I. MADERO"	"CALLE 31 202"	"MERIDA"	"MERIDA"	"20.9692018"	"-89.6575074"
"COLEGIO AMERICANO"	"CALLE 72 499"	"MERIDA"	"MERIDA"	"20.9693642"	"-89.6306873"
"COLEGIO AMERICANO"	"CALLE 72 499"	"MERIDA"	"MERIDA"	"20.9693642"	"-89.6306873"
"SEPTIMIO PEREZ PALACIOS"	"CALLE 55"	"MERIDA"	"MERIDA"	"20.969368"	"-89.5761319"
"ALFREDO NOBEL"	"CALLE 55 423"	"MERIDA"	"MERIDA"	"20.9693752"	"-89.5796284"
"CESAR MENDOZA SANTANA"	"CALLE 55"	"MERIDA"	"MERIDA"	"20.9693993"	"-89.5762941"
"CESAR MENDOZA SANTANA"	"CARRETERA MERIDA-PROGRESO KILOMETRO 8 CORDEMEX"	"MERIDA"	"MERIDA"	"20.9693993"	"-89.5762941"
"ISOLINA ROSADO DE GRAHAM"	"CALLE 46 900"	"MERIDA"	"MERIDA"	"20.9694971"	"-89.5792524"
"JOSE PEON CONTRERAS"	"CALLE 12 100 B"	"SINANCHE"	"SINANCHE"	"20.9695217"	"-89.6222319"
"LEYES DE REFORMA"	"CALLE 59-A 566 F"	"MERIDA"	"MERIDA"	"20.9695389"	"-89.6299731"
"CARLOS CASTRO MORALES"	"CALLE 61 632"	"MERIDA"	"MERIDA"	"20.9695493"	"-89.6376178"
"NICOLAS BRAVO"	"CALLE 59 566"	"MERIDA"	"MERIDA"	"20.9697357"	"-89.6299181"
"EDUCACION Y PATRIA-A.C."	"CALLE 64 485"	"MERIDA"	"MERIDA"	"20.969793"	"-89.6254872"
"EDUCACION Y PATRIA"	"CALLE 64 485"	"MERIDA"	"MERIDA"	"20.969793"	"-89.6254872"
"EDUCACION Y PATRIA"	"CALLE 66 484"	"MERIDA"	"MERIDA"	"20.969793"	"-89.6254872"
"LEY DE GINEBRA"	"CALLE 59"	"KANASIN"	"KANASIN"	"20.9698263"	"-89.5554003"
"HEROE DE NACOZARI"	"CALLE 55 454"	"MERIDA"	"MERIDA"	"20.9698626"	"-89.6169212"
"AMANECER PENINSULAR"	"CALLE 55 695"	"MERIDA"	"MERIDA"	"20.9699891"	"-89.58618"
"KINDER MAGICO DE MERIDA"	"CALLE 55 697"	"MERIDA"	"MERIDA"	"20.9699891"	"-89.58618"
"LUIS ALVAREZ BARRET"	"CALLE 18"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"ESCUELA SECUNDARIA TECNICA NUM. 24"	"CALLE 23"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"ESCUELA SECUNDARIA TECNICA NUM. 55"	"CALLE 23"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"SECUNDARIA TECNICA NUM. 78"	"CALLE 23"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"FELIPE CARRILLO PUERTO"	"CALLE 25"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"SANTIAGO MENESES"	"CALLE 52"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"ESCUELA SECUNDARIA TECNICA NUM. 2"	"CALLE 60"	"MERIDA"	"MERIDA"	"20.97"	"-89.62"
"NICOLAS BRAVO"	"CALLE 59 564 A"	"MERIDA"	"MERIDA"	"20.9701886"	"-89.6323627"
"JOSE EMILIO VALLADO GALAZ"	"CALLE 31 201 NA"	"MERIDA"	"MERIDA"	"20.9702994"	"-89.6574497"
"ELIGIO ANCONA"	"CALLE 59 624"	"MERIDA"	"MERIDA"	"20.9705853"	"-89.6354862"
"SALVADOR ALVARADO"	"CALLE 25 545"	"MERIDA"	"MERIDA"	"20.9706598"	"-89.5983538"
"JUSTO SIERRA MENDEZ"	"CALLE 32 405"	"MERIDA"	"MERIDA"	"20.9707696"	"-89.6838366"
"27 DE SEPTIEMBRE"	"CALLE 14 84"	"MERIDA"	"MERIDA"	"20.970789"	"-89.5980592"
"MOISES SAENZ"	"CALLE 31 201"	"MERIDA"	"MERIDA"	"20.9708131"	"-89.6573504"
"MARCIAL RUZ CARRILLO"	"CALLE 21 102"	"MERIDA"	"MERIDA"	"20.9708213"	"-89.6691766"
"NAHIL PAAL"	"CALLE 25 191"	"MERIDA"	"MERIDA"	"20.97094"	"-89.674234"
"MARIA DE MONSERRAT"	"CALLE 53 416"	"MERIDA"	"MERIDA"	"20.970953"	"-89.6060716"
"ANGELICA GUILLEN FERDINAND"	"CALLE 53 416"	"MERIDA"	"MERIDA"	"20.9709917"	"-89.6059736"
"VICENTE GUERRERO"	"CALLE 53 556"	"MERIDA"	"MERIDA"	"20.9711053"	"-89.6306354"
"SALVADOR VARELA RESENDIZ"	"CALLE 52"	"MERIDA"	"MERIDA"	"20.9712433"	"-89.5809159"
"SALVADOR VARELA RESENDIZ"	"CALLE 52"	"MERIDA"	"MERIDA"	"20.9712433"	"-89.5809159"
"ESPACIO EDUCATIVO EVEREST"	"CALLE 29 74"	"MERIDA"	"MERIDA"	"20.9713052"	"-89.5695899"
"OLEGARIO CORTES SOLIS"	"CALLE 29 74"	"MERIDA"	"MERIDA"	"20.9713052"	"-89.5695899"
"PREESCOLAR INSTITUTO EDUCATIVO PENINSULAR DE YUCATAN"	"CALLE 32 200 J"	"MERIDA"	"MERIDA"	"20.9714062"	"-89.6568584"
"CARMELA COSGAYA RIVAS"	"CALLE 51"	"MERIDA"	"MERIDA"	"20.9714715"	"-89.5904826"
"CENTRO DE DESARROLLO INFANTIL DE MERIDA"	"CALLE 53 488"	"MERIDA"	"MERIDA"	"20.9715532"	"-89.6186884"
"JACINTO CANEK"	"CALLE 45 519"	"MERIDA"	"MERIDA"	"20.9715917"	"-89.5808978"
"CARLOS CASTRO MORALES"	"CALLE 80 490"	"MERIDA"	"MERIDA"	"20.9717656"	"-89.6355513"
"LA CASITA"	"CALLE 72 482"	"MERIDA"	"MERIDA"	"20.9719269"	"-89.6297639"
"ROBY NAIM GUETTA"	"CALLE 19"	"MERIDA"	"MERIDA"	"20.9721267"	"-89.6737209"
"JOSE MARIA PINO SUAREZ"	"CALLE 17 108"	"MERIDA"	"MERIDA"	"20.972263"	"-89.6027374"
"JOSE MARIA PINO SUAREZ"	"CALLE 38 81"	"MERIDA"	"MERIDA"	"20.972263"	"-89.6027374"
"HEROE DE NACOZARI"	""	"SAN ANTONIO MILLET"	"TIXKOKOB"	"20.9723265"	"-89.3980161"
"MIGUEL ANGEL FERRERA BASTO"	"CALLE 10"	"MERIDA"	"MERIDA"	"20.9725945"	"-89.5616438"
"NUEVA CREACION"	"CALLE 60"	"MERIDA"	"MERIDA"	"20.9727097"	"-89.6223694"
"5 DE MAYO"	"CALLE 71-D"	"MERIDA"	"MERIDA"	"20.9728187"	"-89.6599976"
"ZAMNA"	"CALLE 53 241"	"MERIDA"	"MERIDA"	"20.972848"	"-89.628797"
"CENTRO EDUCATIVO KUKULCAN"	"CALLE 13 101"	"MERIDA"	"MERIDA"	"20.9728487"	"-89.6690978"
"CENTRO EDUCATIVO KUKULCAN"	"CALLE 13 101"	"MERIDA"	"MERIDA"	"20.9728487"	"-89.6690978"
"IGNACIO MANUEL ALTAMIRANO"	"CALLE 17"	"MERIDA"	"MERIDA"	"20.9733556"	"-89.6780841"
"MARIA GONZALEZ PALMA"	"CALLE 50 454"	"MERIDA"	"MERIDA"	"20.9733685"	"-89.6147819"
"MA GONZALEZ PALMA DE AVILA"	"CALLE 50 454"	"MERIDA"	"MERIDA"	"20.9733685"	"-89.6147819"
"MARIA GONZALEZ PALMA DE-A.C."	"CALLE 50 454 NA"	"MERIDA"	"MERIDA"	"20.9733685"	"-89.6147819"
"MOTOLINIA DE MERIDA"	"CALLE 14 100"	"MERIDA"	"MERIDA"	"20.97342"	"-89.5988387"
"MOTOLINIA"	"CALLE 14 100"	"MERIDA"	"MERIDA"	"20.97342"	"-89.5988387"
"MOTOLINIA DE MERIDA"	"CALLE 14 100"	"MERIDA"	"MERIDA"	"20.97342"	"-89.5988387"
"JUAN DE DIOS RODRIGUEZ HEREDIA"	"CALLE 25 545"	"MERIDA"	"MERIDA"	"20.973626"	"-89.5751223"
"CENTRO EDUCATIVO SALVADOR ALVARADO ORIENTE"	"CALLE 38 559"	"MERIDA"	"MERIDA"	"20.9737582"	"-89.5734537"
"COLIBRI"	"CALLE 47 392 H"	"MERIDA"	"MERIDA"	"20.9739677"	"-89.6073052"
"CENTRO EDUCATIVO ANGLO MONTESSORI"	"CALLE 37 301"	"MERIDA"	"MERIDA"	"20.9740176"	"-89.5783753"
"JUAN JOSE COELLO RAMIREZ"	"CALLE 40 543"	"MERIDA"	"MERIDA"	"20.9743933"	"-89.575161"
"RAMON OSORIO OSORIO"	"CALLE 32"	"MERIDA"	"MERIDA"	"20.9745157"	"-89.6036308"
"SALVADOR DALI"	"CALLE 47 274"	"MERIDA"	"MERIDA"	"20.9745791"	"-89.5896934"
"GUADALUPE VICTORIA"	"CALLE 45 412"	"MERIDA"	"MERIDA"	"20.9746952"	"-89.6061162"
"SAC NICTE"	"CALLE 39"	"MERIDA"	"MERIDA"	"20.9748823"	"-89.5641199"
"INSTITUTO KOMENSKI"	"CALLE 5 135"	"MERIDA"	"MERIDA"	"20.97495"	"-89.670662"
"CENTRO EDUCATIVO AMERICA"	"CALLE 5 137"	"MERIDA"	"MERIDA"	"20.9749816"	"-89.6708125"
"CENTRO EDUCATIVO AMERICA"	"CALLE 5 141"	"MERIDA"	"MERIDA"	"20.9749816"	"-89.6708125"
"CENTRO EDUCATIVO AMERICA"	"CALLE 5 141"	"MERIDA"	"MERIDA"	"20.9749816"	"-89.6708125"
"ENRIQUE C REBSAMEN"	"CALLE 16"	"MERIDA"	"MERIDA"	"20.9755235"	"-89.587449"
"ADRIANA VADILLO RIVAS"	"CALLE 45 238"	"MERIDA"	"MERIDA"	"20.9755663"	"-89.5897032"
"JESUS REYES HEROLES"	"CALLE 118 314"	"MERIDA"	"MERIDA"	"20.9757915"	"-89.659799"
"PABLO BOLIO PONCE"	"CALLE 118 314"	"MERIDA"	"MERIDA"	"20.9757915"	"-89.659799"
"RITA ARACELLY MOGUEL GAMBOA"	"CALLE 35"	"MERIDA"	"MERIDA"	"20.9758152"	"-89.5665379"
"AGUSTIN FRANCO VILLANUEVA"	""	"MERIDA"	"MERIDA"	"20.975969"	"-89.6228549"
"JACINTO CANEK"	"CALLE 165 284"	"MERIDA"	"MERIDA"	"20.9761741"	"-89.6418772"
"GABRIELA MISTRAL"	"CALLE 104 443 A"	"MERIDA"	"MERIDA"	"20.9762182"	"-89.6499388"
"CENTRO EDUCATIVO PEQUEÑOS GENIOS"	"CALLE 32 402"	"MERIDA"	"MERIDA"	"20.9762235"	"-89.604065"
"BENJAMIN CARRILLO"	"CALLE 43 444"	"MERIDA"	"MERIDA"	"20.9763725"	"-89.6098542"
"YALDUD \"NIÑEZ QUE APRENDE\""	"CALLE 26 270"	"MERIDA"	"MERIDA"	"20.976652"	"-89.64914"
"CENTRO EDUCATIVO YALDUD"	"CALLE 102 429"	"MERIDA"	"MERIDA"	"20.9766846"	"-89.6490098"
"FRANCISCO MARQUEZ"	"CALLE 72 431"	"MERIDA"	"MERIDA"	"20.9770962"	"-89.628153"
"INSTITUTO COMERCIAL BANCARIO A C"	"CALLE 62 373"	"MERIDA"	"MERIDA"	"20.977143"	"-89.622866"
"CENTRO DE FORMACION BASICA Y SENSIBILIZACION ARTISTICA"	"AVENIDA ITZAES 501 C"	"MERIDA"	"MERIDA"	"20.9771697"	"-89.6401731"
"CENTRO DE FORMACION BASICA Y SENSIBILIZACION ARTISTICA"	"AVENIDA ITZAES 501 C"	"MERIDA"	"MERIDA"	"20.9771697"	"-89.6401731"
"LUIS DONALDO COLOSIO MURRIETA"	"CALLE 19 503 A"	"MERIDA"	"MERIDA"	"20.9771777"	"-89.575242"
"NETZAHUALCOYOTL"	"CALLE 104 435"	"MERIDA"	"MERIDA"	"20.9773401"	"-89.6498523"
"NETZAHUALCOYOTL"	"CALLE 104 435"	"MERIDA"	"MERIDA"	"20.9773401"	"-89.6498523"
"DAMIAN CARMONA"	"CALLE 41"	"MERIDA"	"MERIDA"	"20.9774438"	"-89.5833443"
"ARCO IRIS"	"CALLE 30"	"MERIDA"	"MERIDA"	"20.9774904"	"-89.5697629"
"SILVIO ZAVALA VALLADO"	"CALLE 41 438"	"MERIDA"	"MERIDA"	"20.9776729"	"-89.6024728"
"SILVIO ZAVALA VALLADO"	"CALLE 41 438"	"MERIDA"	"MERIDA"	"20.9776729"	"-89.6024728"
"REPUBLICA DE MEXICO"	"CALLE 50 415"	"MERIDA"	"MERIDA"	"20.9776729"	"-89.6139224"
"MANUEL GUTIERREZ NAJERA"	"CALLE 116-A"	"MERIDA"	"MERIDA"	"20.9777932"	"-89.6564825"
"GUARDERIA ROMINA"	"CALLE 64 371 B"	"MERIDA"	"MERIDA"	"20.9779943"	"-89.6247637"
"AGUSTIN VADILLO CICERO"	"CALLE 41"	"MERIDA"	"MERIDA"	"20.9781014"	"-89.6053544"
"AGUSTIN VADILLO CICERO"	"CALLE 41"	"MERIDA"	"MERIDA"	"20.9781014"	"-89.6053544"
"AGUSTIN VADILLO CICERO"	"CALLE 86"	"MERIDA"	"MERIDA"	"20.9781014"	"-89.6053544"
"EDMUNDO VILLALVA RODRIGUEZ"	"CALLE 84-A"	"MERIDA"	"MERIDA"	"20.9784286"	"-89.6385736"
"APRENDIENDO A CRECER"	"CALLE 52 407 B"	"MERIDA"	"MERIDA"	"20.9785479"	"-89.615338"
"CUITLAHUAC"	"CALLE 24"	"TIXPEHUAL"	"TIXPEHUAL"	"20.9785579"	"-89.4460196"
"GVC GUARDERIAS DEL MAYAB LOS PERIQUITOS"	"CALLE 67 203 E"	"MERIDA"	"MERIDA"	"20.9788649"	"-89.6584196"
"FLORINDA BATISTA ESPINOLA"	"CALLE 41 499"	"MERIDA"	"MERIDA"	"20.9792166"	"-89.6203691"
"HIDALGO"	"CALLE 60 384"	"MERIDA"	"MERIDA"	"20.9794488"	"-89.6208242"
"ESCUELA PRIMARIA"	"CALLE 60"	"MERIDA"	"MERIDA"	"20.9794751"	"-89.6208338"
"EL JARDIN DEL ABUELITO"	"CALLE 104 433 A"	"MERIDA"	"MERIDA"	"20.9795049"	"-89.6497533"
"CENTRO ESCOLAR LOS NIÑOS DEL MAÑANA"	"CALLE 11 516"	"MERIDA"	"MERIDA"	"20.9796717"	"-89.5750709"
"CENTRO ESCOLAR LOS NIÑOS DEL MAÑANA"	"CALLE 11 518"	"MERIDA"	"MERIDA"	"20.9796717"	"-89.5750709"
"CENTRO EDUCATIVO INTEGRAL DE YUCATAN"	"CALLE 39 385"	"MERIDA"	"MERIDA"	"20.9797043"	"-89.6151371"
"MARIANO ESCOBEDO"	"CALLE 18 24"	"TIXPEHUAL"	"TIXPEHUAL"	"20.9798516"	"-89.4406227"
"ROSA MARIA NEGRON UGARTE"	"CALLE 67-F 427"	"MERIDA"	"MERIDA"	"20.9802431"	"-89.6719292"
"HISPANO MEXICANO-A.C."	"CALLE 60 382"	"MERIDA"	"MERIDA"	"20.9803246"	"-89.6197857"
"HISPANO MEXICANO"	"CALLE 60 382"	"MERIDA"	"MERIDA"	"20.9803246"	"-89.6197857"
"NELLY SANSORES"	"CALLE 122"	"MERIDA"	"MERIDA"	"20.9810198"	"-89.6603457"
"GREGORIO TORRES QUINTERO"	"CALLE 35 353"	"MERIDA"	"MERIDA"	"20.9816962"	"-89.598195"
"JESUS AMARO GAMBOA"	"CALLE 32 238"	"MERIDA"	"MERIDA"	"20.9818064"	"-89.6803542"
"CENTRO BANCARIO DE DESARROLLO DE LA NIÑEZ-U-747"	"CALLE 37 353"	"MERIDA"	"MERIDA"	"20.9819681"	"-89.6122323"
"CRISTOBAL COLON DE YUCATAN-A.C."	"CALLE 37 516 E"	"MERIDA"	"MERIDA"	"20.9824776"	"-89.6228096"
"CRISTOBAL COLON DE YUCATAN-A.C."	"CALLE 37 516 E"	"MERIDA"	"MERIDA"	"20.9824776"	"-89.6228096"
"JOSE LOPEZ PORTILLO Y ROJAS"	"CALLE 39 74"	"MERIDA"	"MERIDA"	"20.9825627"	"-89.6276251"
"JOSE LOPEZ PORTILLO Y ROJAS"	"CALLE 39 74"	"MERIDA"	"MERIDA"	"20.9825627"	"-89.6276251"
"RUBEN DARIO HERRERA MARTINEZ"	"CALLE 37 520 B"	"MERIDA"	"MERIDA"	"20.9827291"	"-89.6244623"
"COLEGIO ESPAÑOL MEXICANO"	"CALLE 122 250"	"MERIDA"	"MERIDA"	"20.982884"	"-89.6567772"
"ANTONIO BETANCOURT PEREZ"	"CALLE 46 377"	"MERIDA"	"MERIDA"	"20.9830311"	"-89.5847551"
"LUIS PENICHE VALLADO"	"CALLE 47"	"MERIDA"	"MERIDA"	"20.9830658"	"-89.588932"
"IGNACIO ALLENDE"	"CALLE 18 96"	"CACALCHEN"	"CACALCHEN"	"20.983139"	"-89.227311"
"IGNACIO ALLENDE"	"CALLE 21 96"	"CACALCHEN"	"CACALCHEN"	"20.983139"	"-89.227311"
"JACINTO CANEK"	"CALLE 62"	"MERIDA"	"MERIDA"	"20.9835464"	"-89.6539448"
"CHRISDEN"	"CALLE 31 251 A"	"MERIDA"	"MERIDA"	"20.9845252"	"-89.6410388"
"MANUEL AVILA CAMACHO"	"CALLE 72 453"	"MERIDA"	"MERIDA"	"20.9845839"	"-89.6252334"
"COLEGIO NIÑOS DE AMERICA"	"CALLE 124-D 281"	"MERIDA"	"MERIDA"	"20.9846664"	"-89.6616822"
"COLEGIO NIÑOS DE AMERICA-A.C."	"CALLE 124-D 283"	"MERIDA"	"MERIDA"	"20.9846664"	"-89.6616822"
"BENITO JUAREZ GARCIA"	"CALLE 61 287"	"MERIDA"	"MERIDA"	"20.9847589"	"-89.6604045"
"MARIANO MATAMOROS"	"CALLE 22 320"	"MERIDA"	"MERIDA"	"20.9848376"	"-89.5748879"
"BADEN POWELL"	"AVENIDA ITZAES 257"	"MERIDA"	"MERIDA"	"20.9848441"	"-89.6397223"
"BADEN POWELL"	"CALLE 32 257"	"MERIDA"	"MERIDA"	"20.9848441"	"-89.6397223"
"BADEN POWELL"	"CALLE 32 257"	"MERIDA"	"MERIDA"	"20.9848441"	"-89.6397223"
"ELVIRA PARRA AVILA"	"CALLE 20"	"MERIDA"	"MERIDA"	"20.9852103"	"-89.574052"
"UH NAIL CHIICH"	"CALLE 29-A 302"	"MERIDA"	"MERIDA"	"20.9854061"	"-89.6042118"
"COLEGIO DEL BICENTENARIO"	"CALLE 12 204"	"MERIDA"	"MERIDA"	"20.9854329"	"-89.6291215"
"EMILIANO ZAPATA"	"CALLE 20"	"MERIDA"	"MERIDA"	"20.9855253"	"-89.5741722"
"JUAN GARCIA PONCE"	"CALLE 28-A"	"MERIDA"	"MERIDA"	"20.9855466"	"-89.6166728"
"ESTEFANIA CASTAÑEDA"	"CALLE 35 211"	"MERIDA"	"MERIDA"	"20.9857376"	"-89.5854836"
"SOLIDARIDAD"	"CALLE 26 160"	"MERIDA"	"MERIDA"	"20.9858068"	"-89.6751262"
"LILI"	"CALLE 31-D 283"	"MERIDA"	"MERIDA"	"20.9858552"	"-89.6029397"
"ALBINO J LOPE"	"CALLE 38 452"	"MERIDA"	"MERIDA"	"20.9862029"	"-89.6062903"
"COLEGIO VILLA INFANTIL IBERO"	"CALLE 14 160"	"MERIDA"	"MERIDA"	"20.9863148"	"-89.6299286"
"JENARO RODRIGUEZ CORREA"	"CALLE 20 201"	"MERIDA"	"MERIDA"	"20.9864875"	"-89.6330537"
"JENARO RODRIGUEZ CORREA"	"CALLE 22 200 A"	"MERIDA"	"MERIDA"	"20.9864875"	"-89.6330537"
"JENARO RODRIGUEZ CORREA"	"CALLE 22 200 A"	"MERIDA"	"MERIDA"	"20.9864875"	"-89.6330537"
"CENTRO ESCOLAR AMERICA LATINA"	"CALLE 31-D 285"	"MERIDA"	"MERIDA"	"20.9865309"	"-89.5985362"
"MODELO"	"CALLE 56-A 444"	"MERIDA"	"MERIDA"	"20.987116"	"-89.615453"
"MODELO"	"CALLE 56-A 444"	"MERIDA"	"MERIDA"	"20.987116"	"-89.615453"
"MIGUEL HIDALGO Y COSTILLA"	""	"CHEUMAN"	"MERIDA"	"20.9871836"	"-89.6540467"
"FELIPE CARRILLO PUERTO"	"AVENIDA COLON"	"MERIDA"	"MERIDA"	"20.987229"	"-89.6279613"
"IBEROAMERICANO"	"AVENIDA COLON 196 A"	"MERIDA"	"MERIDA"	"20.9872956"	"-89.6289941"
"COLEGIO IBEROAMERICANO"	""	"MERIDA"	"MERIDA"	"20.9872956"	"-89.6289941"
"COLEGIO DE MEXICO"	"CALLE 23-A SN"	"MERIDA"	"MERIDA"	"20.9875741"	"-89.637056"
"COLEGIO DE MEXICO"	"CALLE 23-A SN"	"MERIDA"	"MERIDA"	"20.9875741"	"-89.637056"
"EL CARRUSEL DE MERIDA"	"CALLE 23 209"	"MERIDA"	"MERIDA"	"20.9877404"	"-89.637897"
"LUCRECIA VADILLO RIVAS"	"CALLE 56-A 444"	"MERIDA"	"MERIDA"	"20.9878187"	"-89.6160655"
"GUARDERIA CAMARA DE COMERCIO"	"CALLE 35-A 401"	"MERIDA"	"MERIDA"	"20.987873"	"-89.5766603"
"ESCUELA SECUNDARIA TECNICA 72 \"VICTOR MANUEL CERVERA PACHECO\""	"CALLE 140"	"MERIDA"	"MERIDA"	"20.9882923"	"-89.6740418"
"TELESECUNDARIA NUM. 157"	"CALLE 22 270 B"	"MERIDA"	"MERIDA"	"20.9882923"	"-89.6740418"
"ESCUELA SECUNDARIA TECNICA NUM. 57"	"CALLE 22 NA"	"MERIDA"	"MERIDA"	"20.9882923"	"-89.6740418"
"VICENTE GUERRERO"	"CALLE 42"	"MERIDA"	"MERIDA"	"20.988404"	"-89.5792168"
"GUARDERIA Y JARDIN DE NIÑOS MONTESSORI ITZIMNA"	"CALLE 27-A 487"	"MERIDA"	"MERIDA"	"20.988564"	"-89.614382"
"FEDERACION DE TRABAJADORES DEL ESTADO DE YUCATAN"	"CALLE 33 371 A"	"MERIDA"	"MERIDA"	"20.9885708"	"-89.5743331"
"CENTRO EDUCATIVO INFANTIL MI ESCUELITA"	"CALLE 16 338 A"	"MERIDA"	"MERIDA"	"20.9886767"	"-89.610101"
"COLEGIO REGIONAL DE MEXICO UNIDAD BRISAS"	"CALLE 26 104"	"MERIDA"	"MERIDA"	"20.988722"	"-89.584374"
"COLEGIO REGIONAL DE MEXICO UNIDAD BRISAS"	"CALLE 26 112"	"MERIDA"	"MERIDA"	"20.988722"	"-89.584374"
"ROSA TORRES"	"CALLE 22"	"MERIDA"	"MERIDA"	"20.9888276"	"-89.6178195"
"EMILIANO ZAPATA"	"CALLE 60 839"	"MERIDA"	"MERIDA"	"20.9890464"	"-89.6911162"
"NIÑOS HEROES"	"CALLE 39"	"MERIDA"	"MERIDA"	"20.989084"	"-89.5865268"
"ANTONIO BUSTILLOS CARRILLO"	"CALLE 33 371 A"	"MERIDA"	"MERIDA"	"20.9891258"	"-89.5757684"
"IGNACIO ZARAGOZA"	"CALLE 21-A 82"	"MERIDA"	"MERIDA"	"20.9894834"	"-89.6095535"
"IGNACIO ZARAGOZA"	"CALLE 21-A 82"	"MERIDA"	"MERIDA"	"20.9894834"	"-89.6095535"
"SANTIAGO PACHECO CRUZ"	"CALLE 31-A"	"MERIDA"	"MERIDA"	"20.9897432"	"-89.5664148"
"COLEGIO AMERICA DE MERIDA"	"CALLE 56-A 493"	"MERIDA"	"MERIDA"	"20.9899117"	"-89.6173936"
"COLEGIO AMERICA DE MERIDA"	"CALLE 58-A 493"	"MERIDA"	"MERIDA"	"20.9899117"	"-89.6173936"
"COLEGIO AMERICA DE MERIDA"	"CALLE 58-A 493"	"MERIDA"	"MERIDA"	"20.9899117"	"-89.6173936"
"LEOPOLDO AGUILAR ROCA"	"CALLE 19 287"	"MERIDA"	"MERIDA"	"20.9902581"	"-89.6436339"
"COLEGIO EDUCATIVO BRISAS"	"CALLE 16 101 B"	"MERIDA"	"MERIDA"	"20.9905"	"-89.580514"
"COLEGIO EDUCATIVO BRISAS"	"CALLE 16 101 B"	"MERIDA"	"MERIDA"	"20.9905"	"-89.580514"
"ENFANT"	"CALLE 19 78"	"MERIDA"	"MERIDA"	"20.9907029"	"-89.6059171"
"ONECIFORO BURGOS CONCHA"	"CALLE 12"	"TIXKOKOB"	"TIXKOKOB"	"20.9907572"	"-89.3921539"
"ZAZIL BE"	"CALLE 31-B"	"MERIDA"	"MERIDA"	"20.990827"	"-89.592187"
"DAVID VIVAS ROMERO"	"CALLE 6 (AVENIDA CUPULES) 64"	"MERIDA"	"MERIDA"	"20.9908482"	"-89.6245395"
"INSTITUTO MEXICO"	"CALLE 19 327 C"	"MERIDA"	"MERIDA"	"20.9908679"	"-89.6470531"
"INSTITUTO MEXICO"	"CALLE 50 290"	"MERIDA"	"MERIDA"	"20.9908679"	"-89.6470531"
