ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
101,31DST0032U,RICARDO LOPEZ MENDEZ,MATUTINO,SECUNDARIA,376,CACALCHEN,CACALCHEN,CARRETERA CACALCHEN-BOKOBA KILOMETRO 1,IZAMAL,
102,31DCC0167R,EMILIANO ZAPATA,MATUTINO,PREESCOLAR,89,CALOTMUL,CALOTMUL,CALLE 19,TIZIMIN,
103,31DJN0029E,ALFREDO PENICHE EROSA,MATUTINO,PREESCOLAR,31,CALOTMUL,CALOTMUL,CALLE 23 47,TIZIMIN,
104,31DCC0121W,CHILAM BALAM,MATUTINO,PREESCOLAR,38,CALOTMUL,POCOBOCH,,TIZIMIN,
105,31DCC0180L,FEDERICO FROEBEL,MATUTINO,PREESCOLAR,16,CALOTMUL,TAHCABO,,TIZIMIN,
106,31DPR0470H,ANDRES QUINTANA ROO,VESPERTINO,PRIMARIA,100,CALOTMUL,CALOTMUL,CALLE 20 SN,TIZIMIN,
107,31DPR0926P,ANDRES QUINTANA ROO,MATUTINO,PRIMARIA,145,CALOTMUL,CALOTMUL,CALLE 20 SN,TIZIMIN,
108,31DPR1001W,BENITO JUAREZ GARCIA,MATUTINO,PRIMARIA,98,CALOTMUL,POCOBOCH,CALLE CONOCIDO DOMICILIO CONOCIDO,TIZIMIN,
109,31DPR0934Y,VALENTIN GOMEZ FARIAS,MATUTINO,PRIMARIA,46,CALOTMUL,TAHCABO,CALLE CONOCIDO DOMICILIO CONOCIDO,TIZIMIN,
110,31DST0043Z,ESCUELA SECUNDARIA TECNICA NUM. 43,MATUTINO,SECUNDARIA,135,CALOTMUL,CALOTMUL,CARRETERA CALOTMUL-TIZIMIN KILOMETRO 2,TIZIMIN,
111,31ETV0103K,ALFREDO BARRERA MARIN,MATUTINO,SECUNDARIA,46,CALOTMUL,POCOBOCH,,TIZIMIN,
112,31ETV0082O,TOMAS AZNAR BARBACHANO,MATUTINO,SECUNDARIA,31,CALOTMUL,TAHCABO,,TIZIMIN,
113,31DJN0010G,SOR JUANA INES DE LA CRUZ,MATUTINO,PREESCOLAR,52,CANSAHCAB,CANSAHCAB,CALLE 24 104,MOTUL,
114,31DJN0192F,LUIS PASTEUR,MATUTINO,PREESCOLAR,70,CANSAHCAB,CANSAHCAB,CALLE 23,MOTUL,
