PRIMARIA+COMUNITARIA,,MAC-YAN+(SAN+ISIDRO+MAC-YAN),TEKAX
MARIANO+MATAMOROS,,SAN+JUAN,TEKAX
ESCUELA+COMUNITARIA,,NUEVA+SANTA+CRUZ+(SANTA+CRUZ+CUTZA),TEKAX
ARTURO+ESCALANTE+GALERA,,TICUM,TEKAX
VICENTE+GUERRERO,,TIXCUYTUN,TEKAX
PRIMARIA+COMUNITARIA,,SAN+PEDRO+XTOKIL,TEKAX
VICENTE+GUERRERO,,CHAN+DZINUP,TEKAX
PRIMARIA+INDIGENA+PAEPI,,POCOBOCH,TEKAX
PRIMARIA+COMUNITARIA,,SAN+ISIDRO+YAXCHE,TEKAX
LAZARO+CARDENAS+DEL+RIO,,SAN+AGUSTIN+(SALVADOR+ALVARADO),TEKAX
PRIMARIA+COMUNITARIA,,SAN+PEDRO+DZULA,TEKAX
PRIMARIA+INDIGENA+PAEPI,,YALCOBA+NUEVO,TEKAX
PRIMARIA+INDIGENA+PAEPI,,HOUITZ,TEKAX
IGNACIO+ZARAGOZA,,HUNTOCHAC,TEKAX
PRIMARIA+INDIGENA+PAEPI,,JOSE+LOPEZ+PORTILLO,TEKAX
LAZARO+CARDENAS+DEL+RIO,,KANTEMO,TEKAX
NETZAHUALCOYOTL,,SUDZAL+CHICO,TEKAX
BENITO+JUAREZ+GARCIA,,SAN+MARCOS,TEKAX
PRIMARIA+COMUNITARIA+INDIGENA,,SAN+ANTONIO+TUK,TEKAX
PRIMARIA+INDIGENA+PAEPI,,SAN+LUIS,TEKAX
PRIMARIA+INDIGENA+PAEPI,,SAN+ISIDRO+DOS,TEKAX
NACHI-COCOM,,BECANCHEN,TEKAX
FERNANDO+MONTES+DE+OCA+RODRIGUEZ,,MANUEL+CEPEDA+PERAZA,TEKAX
SECUNDARIA+COMUNITARIA,,NOHALAL,TEKAX
SECUNDARIA+COMUNITARIA,,SAN+JUAN,TEKAX
JOSE+DIAZ+BOLIO,,TIXCUYTUN,TEKAX
JOSE+PEON+CONTRERAS,,XAYA,TEKAX
SECUNDARIA+COMUNITARIA,,SAN+ISIDRO+YAXCHE,TEKAX
FRANCISCO+MARQUEZ,,BENITO+JUAREZ,TEKAX
SECUNDARIA+COMUNITARIA,,SAN+AGUSTIN+(SALVADOR+ALVARADO),TEKAX
SECUNDARIA+COMUNITARIA,,SAN+PEDRO+DZULA,TEKAX
ELIGIO+MARIA+ANCONA+Y+CASTILLO,,HUNTOCHAC,TEKAX
ANTONIO+CANTO+LOPEZ,,KANTEMO,TEKAX
SECUNDARIA+COMUNITARIA,,SUDZAL+CHICO,TEKAX
EL+NIÑO+MAYA,,TEKOM,TEKOM
ESCUELA+COMUNITARIA+CONAFE,,CHIBILUB,TEKOM
PREESCOLAR+INDIGENA+PAEPI,,X-COCMIL,TEKOM
PREESCOLAR+INDIGENA+PAEPI,,POCBICHEN,TEKOM
PREESCOLAR+INDIGENA+PAEPI,,XUXCAB,TEKOM
GUILLERMO+PRIETO,,TEKOM,TEKOM
ANAHUAC,,CHIBILUB,TEKOM
ESCUELA+COMUNITARIA+CONAFE,,X-COCMIL,TEKOM
CRISTINA+MADERA+MARTINEZ,,POCBICHEN,TEKOM
PRIMARIA+INDIGENA+PAEPI,,XUXCAB,TEKOM
SECUNDARIA+COMUNITARIA,,CHIBILUB,TEKOM
PREESCOLAR+COMUNITARIO,,CHENCHE+DE+LAS+TORRES,TEMAX
PREESCOLAR+COMUNITARIO,,SAN+ANTONIO+CAMARA,TEMAX
12+DE+OCTUBRE,,CHENCHE+DE+LAS+TORRES,TEMAX
EMILIANO+ZAPATA,,SAN+ANTONIO+CAMARA,TEMAX
ALFONSO+CASO+ANDRADE,,ACTUNCOH,TEMOZON
JUAN+FRANCISCO+MOLINA+SOLIS,,DZALBAY,TEMOZON
BENITO+JUAREZ+GARCIA,,HUNUKU,TEMOZON
PREESCOLAR+INDIGENA+PAEPI,,X-KANCHECHEN,TEMOZON
LAZARO+CARDENAS+DEL+RIO,,NAHBALAM,TEMOZON
JUAN+PIO+PEREZ,,SANTA+RITA,TEMOZON
PREESCOLAR+INDIGENA+PAEPI,,X'TUT,TEMOZON
JACINTO+CANEK,,X-UCH,TEMOZON
ESCUELA+COMUNITARIA+CONAFE,,EKBALAM,TEMOZON
5+DE+FEBRERO,,YOKDZONOT+PRESENTADO,TEMOZON
ALFONSO+CASO+ANDRADE,,ACTUNCOH,TEMOZON
EMILIANO+ZAPATA,,DZALBAY,TEMOZON
BENITO+JUAREZ+GARCIA,,HUNUKU,TEMOZON
RITA+CETINA+GUTIERREZ,,HUNUKU,TEMOZON
PRIMARIA+INDIGENA+PAEPI,,X-KANCHECHEN,TEMOZON
GONZALO+GUERRERO,,KANTO,TEMOZON
