ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
143	31EPR0009G	SALVADOR ALVARADO	CALLE 16 151	CENOTILLO	CENOTILLO
144	31DPR0215Q	FELIPE CARRILLO PUERTO		TIXBACAB	CENOTILLO
145	31DST0016C	ADEMAR EFRAIN BRITO PARRA	CARRETERA CENOTILLO-TUNKAS KILOMETRO 2	CENOTILLO	CENOTILLO
146	31ETV0065Y	GABINO BARREDA		TIXBACAB	CENOTILLO
147	31EDI1008B	REALIDADES PARA NIÑOS	CALLE 27 100 A	CONKAL	CONKAL
148	31DJN0087V	GONZALO CAMARA ZAVALA	CALLE 22	CONKAL	CONKAL
149	31DJN2026V	TUNBEN KIN	CALLE 23 76	CONKAL	CONKAL
150	31KJN0362T	PREESCOLAR COMUNITARIO		CONKAL	CONKAL
151	31PJN0326J	MANO AMIGA CONKAL		CONKAL	CONKAL
152	31DJN0026H	MARIANO SILVA Y ACEVES	CALLE 16	X-CUYUM	CONKAL
153	31DPR0187K	MARGARITA MAZA DE JUAREZ	CALLE 15	CONKAL	CONKAL
154	31DPR0855L	MARCIAL CERVERA BUENFIL	CALLE 24 110	CONKAL	CONKAL
155	31DPR0873A	RAFAEL RAMIREZ CASTAÑEDA	CALLE 8 74	CONKAL	CONKAL
156	31EPR0010W	RODOLFO MENENDEZ DE LA PEÑA	CALLE 21 103 A	CONKAL	CONKAL
157	31PPR0329X	CENTRO EDUCATIVO MANO AMIGA CONKAL		CONKAL	CONKAL
158	31DPR0919F	EULALIO CASARES GALERA	CALLE 14	X-CUYUM	CONKAL
159	31EES0020W	DIEGO LOPE DE COGOLLUDO	CALLE 19	CONKAL	CONKAL
160	31PES0119L	CENTRO EDUCATIVO MANO AMIGA		CONKAL	CONKAL
161	31ETV0074F	REPUBLICA DE MEXICO		X-CUYUM	CONKAL
162	31DCC0108B	CECILIO CHI		CUNCUNUL	CUNCUNUL
163	31KJN0311M	PREESCOLAR COMUNITARIO	CALLE SAN DIEGO	SAN DIEGO	CUNCUNUL
164	31KCC0095Y	PREESCOLAR INDIGENA PAEPI		X-AKABCHEN	CUNCUNUL
165	31EPR0011V	NACHI COCOM	CALLE 9 49	CUNCUNUL	CUNCUNUL
166	31KPB0052E	PRIMARIA INDIGENA PAEPI		CHEBALAM	CUNCUNUL
167	31KPR0440X	PRIMARIA COMUNITARIA		SAN DIEGO	CUNCUNUL
168	31KPB0120L	PRIMARIA INDIGENA PAEPI		X-AKABCHEN	CUNCUNUL
169	31EES0101G	ISMAEL RODRIGUEZ ARAGON	CALLE 12	CUNCUNUL	CUNCUNUL
170	31DCC0156L	CUAUHTEMOC	CALLE 14 111 A	CUZAMA	CUZAMA
171	31DCC0275Z	CECILIO CHI		CHUNKANAN	CUZAMA
172	31DCC0157K	RICARDO PALMERIN		EKNAKAN	CUZAMA
173	31KJN0180K	PREESCOLAR COMUNITARIO		NOHCHAKAN	CUZAMA
174	31DPR0826Q	LEONIDES AYALA ESCAMILLA	CALLE 10 106	CUZAMA	CUZAMA
175	31EPR0012U	FLORINDA BATISTA ESPINOLA	CALLE 15 103	CUZAMA	CUZAMA
176	31DPR0761X	JUAN MANUEL VARGAS	CARRETERA CUZAMA-TEKIT KILOMETRO 4	CHUNKANAN	CUZAMA
177	31DPR0628Q	RICARDO MOLINA SOLIS		EKNAKAN	CUZAMA
178	31KPR0441W	PRIMARIA COMUNITARIA		NOHCHAKAN	CUZAMA
179	31EES0084G	MIGUEL ANGEL HERCILA AVILEZ	CALLE 15	CUZAMA	CUZAMA
180	31ETV0134D	AGUSTIN MELGAR		EKNAKAN	CUZAMA
181	31DCC0168Q	GUADALUPE VICTORIA		CHACSINKIN	CHACSINKIN
182	31KCC0009L	PREESCOLAR INDIGENA PAEPI		X-BOX	CHACSINKIN
183	31DPB0224X	HEROES DE 1847	NA	CHACSINKIN	CHACSINKIN
184	31DPB2013G	JUAN JOSE MARTINEZ	CALLE 19	CHACSINKIN	CHACSINKIN
185	31DPB0030J	NARCISO MENDOZA		X-BOX	CHACSINKIN
186	31EES0091Q	SOR JUANA INES DE LA CRUZ	CALLE 19 CARRETERA PRINCIPAL DE XOY	CHACSINKIN	CHACSINKIN
187	31DCC0047E	EUSTAQUIO CIME		CHANKOM	CHANKOM
188	31DCC0181K	FRANCISCO I. MADERO		TICIMUL	CHANKOM
189	31KCC0034K	PREESCOLAR INDIGENA PAEPI		TZUKMUC	CHANKOM
190	31KJN0076Z	PREESCOLAR COMUNITARIO		XANLA	CHANKOM
191	31DCC0013O	FELIPE ALCOCER CASTILLO		XKALAKDZONOT	CHANKOM
192	31KJN0397I	ESCUELA COMUNITARIA CONAFE		X-COCAIL	CHANKOM
193	31DCC0184H	LAZARO CARDENAS		XKOPTEIL	CHANKOM
194	31KJN0111O	PREESCOLAR COMUNITARIO		XKATUN	CHANKOM
195	31DCC2019W	MANUEL ANTONIO AY		MUCHUCUXCAH	CHANKOM
196	31DPR0619I	PLAN SEXENAL	CALLE C. 30	CHANKOM	CHANKOM
197	31KPB0134O	PRIMARIA INDIGENA PAEPI		NICTE-HA	CHANKOM
198	31DPR0630E	JACINTO CANEK		TICIMUL	CHANKOM
199	31DPR0632C	GABRIEL RAMOS MILLAN		TZUKMUC	CHANKOM
200	31DPR0631D	ALVARO OBREGON		XANLA	CHANKOM
201	31DPB0029U	PETEN ITSA		X-BOHOM	CHANKOM
202	31DPB0105J	FELIPE ALCOCER CASTILLO		XKALAKDZONOT	CHANKOM
203	31DPB2011I	LUIS DONALDO COLOSIO MURRIETA		X-COCAIL	CHANKOM
204	31DPR0819G	AQUILES SERDAN		XKOPTEIL	CHANKOM
205	31DPR0633B	AQUILES SERDAN		XKATUN	CHANKOM
206	31DPR0531E	CUAUHTEMOC		MUCHUCUXCAH	CHANKOM
207	31ETV0015Q	ZAMNA	CARRETERA CHANKOM-XANLA	CHANKOM	CHANKOM
208	31KTV0099Z	ESCUELA COMUNITARIA CONAFE		TZUKMUC	CHANKOM
209	31ETV0135C	LUIS GONZAGA URBINA	CARRETERA A XACABCHEN	XANLA	CHANKOM
210	31ETV0030I	FELIPE ALCOCER CASTILLO		XKALAKDZONOT	CHANKOM
211	31ETV0046J	JOSEFA ORTIZ DE DOMINGUEZ		XKOPTEIL	CHANKOM
212	31ETV0178A	KUKULKAN		MUCHUCUXCAH	CHANKOM
213	31DCC0263U	BENITO JUAREZ GARCIA	CALLE 29	CHAPAB	CHAPAB
214	31EJN0011E	CARMEN SERDAN	CALLE 20 241	CHAPAB	CHAPAB
215	31DCC0051R	QUETZALCOATL		CITINCABCHEN	CHAPAB
216	31DPB0161B	FRANCISCO JAVIER MINA	CALLE 29	CHAPAB	CHAPAB
217	31EPR0013T	SANTIAGO MENDEZ GIL	CALLE 26	CHAPAB	CHAPAB
218	31DPR0820W	MIGUEL HIDALGO Y COSTILLA		CITINCABCHEN	CHAPAB
219	31EES0092P	SECUNDARIA NUM. 78	CALLE 25 CARRETERA MAMA	CHAPAB	CHAPAB
220	31ETV0036C	PONCIANO ARRIAGA		CITINCABCHEN	CHAPAB
221	31DCC0270D	ALFONSO CASO ANDRADE		CHEMAX	CHEMAX
222	31DCC0307A	U NE'EK SAAMAL	CALLE 25	CHEMAX	CHEMAX
223	31DCC2023I	U LOOLIL TUUKUL		CHEMAX	CHEMAX
224	31DJN0015B	BENITO JUAREZ GARCIA	CALLE 18 103	CHEMAX	CHEMAX
225	31DJN2061A	SARA MARIA MORALES FERNANDEZ	CALLE 18 103	CHEMAX	CHEMAX
226	31DCC0187E	BENITO JUAREZ GARCIA		X-CATZIN (CATZIN)	CHEMAX
227	31KCC0031N	PREESCOLAR INDIGENA PAEPI		COCOYOL	CHEMAX
228	31KCC0057V	PREESCOLAR INDIGENA PAEPI		CHOLUL	CHEMAX
229	31DCC2013B	TSIIB JU'UM		CHULUTAN	CHEMAX
230	31DCC2014A	IN YÁAX KAANBAL		KUXEB	CHEMAX
231	31DCC2017Y	IN YÁAX XIIK'NAL		MUCEL	CHEMAX
232	31KCC0058U	PREESCOLAR INDIGENA PAEPI		SAN JUAN CHEN	CHEMAX
